year,state,state_cd,latitude,longitude,plan_type,tot_clms,tot_opioid_clms,opioid_prscrbng_rate,opioid_prscrbng_rate_1y_chg,opioid_prscrbng_rate_5y_chg,la_tot_opioid_clms,la_opioid_prscrbng_rate,la_opioid_prscrbng_rate_1y_chg,la_opioid_prscrbng_rat_5y_chg
2019,Illinois,17,39.798363,-89.654961,All,24662093,816415,3.31,-0.49,-2.73,26261,3.22,-0.12,-0.47
2019,Indiana,18,39.768623,-86.162643,All,14856323,544482,3.67,-0.48,-4.4,31333,5.75,-0.19,-2.08
2019,Iowa,19,41.591087,-93.603729,All,4665744,222389,4.77,0.2,-1.75,117879,53.01,14.77,46.68
2019,Kansas,20,39.048191,-95.677956,All,3218036,106495,3.31,-1.22,-4.04,8228,7.73,-1.77,-2.35
2019,Kentucky,21,38.186722,-84.875374,All,22211134,662996,2.99,-0.55,-2.03,18036,2.72,-0.32,-2.15
2019,Louisiana,22,30.457069,-91.187393,All,19038465,619940,3.26,-0.64,-3.16,14330,2.31,0.2,-0.93
2019,Maine,23,44.307167,-69.781693,All,2109869,71943,3.41,-0.36,-2.96,10105,14.05,-1.2,1.56
2019,Maryland,24,38.978764,-76.490936,All,13666287,517087,3.78,-0.52,-3.46,53606,10.37,-0.37,0.46
2019,Massachusetts,25,42.358162,-71.063698,All,16426950,368831,2.25,-0.37,-3.3,35364,9.59,0.01,0.91
2019,Michigan,26,42.733635,-84.555328,All,27368982,1038455,3.79,-0.85,-5.18,58585,5.64,-0.11,-0.14
2019,Minnesota,27,44.955097,-93.102211,All,11420217,320765,2.81,-0.56,-3.66,25451,7.93,-0.06,0.27
2019,Mississippi,28,32.303848,-90.182106,All,5371695,197700,3.68,-0.85,-3.6,9269,4.69,0.04,1.19
2019,Missouri,29,38.579201,-92.172935,All,10936865,354685,3.24,-0.73,-3.4,28104,7.92,-1.24,-0.8
2019,Montana,30,46.585709,-112.018417,All,3050636,300500,9.85,0.37,1.7,181069,60.26,9.53,48.9
2019,Nebraska,31,40.808075,-96.699654,All,2414233,75085,3.11,-0.81,-3.06,8796,11.71,-0.55,2.25
2019,Nevada,32,39.163914,-119.766121,All,6326556,294282,4.65,-0.62,-5.17,24945,8.48,-0.59,-0.31
2019,New Hampshire,33,43.206898,-71.537994,All,1801094,46089,2.56,-0.08,-3.72,6474,14.05,-0.2,-0.09
2019,New Jersey,34,40.220596,-74.769913,All,18770567,495531,2.64,-0.31,-2.44,41545,8.38,-0.35,-0.02
2019,New Mexico,35,35.68224,-105.939728,All,5011892,202077,4.03,-0.65,-3.78,7305,3.62,-0.27,-2.23
2019,New York,36,42.652843,-73.757874,All,65624447,1138716,1.74,-0.26,-1.51,89826,7.89,-0.51,-1.24
2019,North Carolina,37,35.78043,-78.639099,All,15521594,520458,3.35,-0.65,-3.98,59423,11.42,0.42,2.24
2019,North Dakota,38,46.82085,-100.783318,All,953771,29732,3.12,-0.71,-4.18,942,3.17,-1.17,-4.52
2019,Ohio,39,39.961346,-82.999069,All,42151253,1063364,2.52,-0.48,-4.61,54719,5.15,-0.21,-0.14
2019,Oklahoma,40,35.492207,-97.503342,All,5357129,236836,4.42,-0.97,-3.91,19148,8.08,-0.82,1.03
2019,Oregon,41,44.938461,-123.030403,All,9174669,381857,4.16,-0.69,-5.29,40879,10.71,4.44,2.78
2019,Pennsylvania,42,40.264378,-76.883598,All,32338095,617653,1.91,-0.83,-4.46,60010,9.72,0.57,0.74
2019,Rhode Island,44,41.830914,-71.414963,All,3172796,71370,2.25,-0.27,-3.38,5817,8.15,0.5,2.09
2019,South Carolina,45,34.000343,-81.033211,All,6450845,178209,2.76,-0.8,-4.35,12930,7.26,-0.06,1.38
2019,South Dakota,46,44.367031,-100.346405,All,868823,26420,3.04,-0.67,-3.68,2627,9.94,-0.04,2.06
2019,Tennessee,47,36.16581,-86.784241,All,13730302,334522,2.44,-0.98,-5.21,12306,3.68,-0.5,-4.19
2019,Texas,48,30.27467,-97.740349,All,29780435,731329,2.46,-0.41,-2.05,32193,4.4,-0.43,0.11
2019,Utah,49,40.777477,-111.888237,All,2622443,113115,4.31,-0.51,-3.76,10834,9.58,-0.79,-0.37
2019,Vermont,50,44.262436,-72.580536,All,1466306,47131,3.21,-0.83,-4.93,6938,14.72,-0.44,0.57
2019,Virginia,51,37.538857,-77.43364,All,16919491,1752577,10.36,3.81,4.02,1409828,80.44,16.73,72.92
2019,Washington,53,47.035805,-122.905014,All,14081168,575330,4.09,-0.93,-4.91,47042,8.18,0.27,-0.98
2019,West Virginia,54,38.336246,-81.612328,All,9246096,198673,2.15,-0.58,-4.75,7602,3.83,-0.21,-0.42
2019,Wisconsin,55,43.074684,-89.384445,All,10724127,503993,4.7,-0.7,-4.16,104375,20.71,0.89,6.55
2019,Wyoming,56,41.140259,-104.820236,All,442428,19614,4.43,-0.51,-3.37,2128,10.85,0.94,0.66
2018,Alabama,1,32.377716,-86.300568,All,7320348,306107,4.18,-0.67,-1.86,12598,4.12,-0.26,-0.21
2018,Alaska,2,58.301598,-134.420212,All,1396855,80393,5.76,-0.74,-1.9,10735,13.35,0.86,1.22
2018,Arizona,4,33.448143,-112.096962,All,15302465,725152,4.74,-1.29,-4.33,57750,7.96,-1.41,-2.91
2018,Arkansas,5,34.746613,-92.288986,All,4922620,256152,5.2,-1.14,-1.42,12308,4.81,-0.97,0.42
2018,California,6,38.576668,-121.493629,All,87788267,3317513,3.78,-0.69,-2.4,214856,6.48,0,-1.08
2018,Colorado,8,39.739227,-104.984856,All,7891814,526874,6.68,-1.46,-4.38,48730,9.25,0.01,-0.28
2018,Connecticut,9,41.764046,-72.682198,All,9332386,328216,3.52,-0.78,-3.5,22988,7,-1.09,-2.09
2018,Delaware,10,39.157307,-75.519722,All,2523930,104405,4.14,-0.35,-4.08,17364,16.63,-0.12,-0.31
2018,District of Columbia,11,38.89511,-77.03637,All,2132009,71367,3.35,-0.47,-1.98,3016,4.23,-0.42,-0.87
2018,Florida,12,30.438118,-84.281296,All,28690918,909791,3.17,-0.93,-2.46,64250,7.06,0.11,-1.02
2018,Georgia,13,33.749027,-84.388229,All,15719768,689375,4.39,-0.78,-2.5,41222,5.98,0.09,1.2
2018,Hawaii,15,21.307442,-157.857376,All,2535285,116285,4.59,-0.9,-3.39,12114,10.42,-0.03,-0.22
2018,Idaho,16,43.617775,-116.199722,All,2365543,97332,4.11,-1.17,-4.17,8277,8.5,-0.63,-0.66
2018,Illinois,17,39.798363,-89.654961,All,24497908,931939,3.8,-0.91,-1.88,31108,3.34,-0.2,-0.82
2018,Indiana,18,39.768623,-86.162643,All,15136391,627571,4.15,-1.15,-4.57,37261,5.94,0.17,-2.62
2018,Iowa,19,41.591087,-93.603729,All,4449515,203467,4.57,0.59,-1.46,77813,38.24,23.23,31.43
2018,Kansas,20,39.048191,-95.677956,All,3353409,152011,4.53,-1.3,-2.77,14441,9.5,-0.77,1.03
2018,Kentucky,21,38.186722,-84.875374,All,22743671,805852,3.54,-0.55,-1.74,24520,3.04,-0.14,-1.6
